symbol,weight,norm_weight,x,y,norm_x,norm_y,hor_ax_moment,ver_ax_moment,norm_hor_ax_moment,norm_ver_ax_moment
А,242,0.18687258687258687,19,20,0.5294117647058824,0.5277777777777778,21715,15086,0.37079092958131277,0.2575985246909364
Б,310,0.3144016227180527,13,17,0.36363636363636365,0.5714285714285714,36805,19876,0.38298647242455774,0.20682622268470344
В,384,0.35294117647058826,16,16,0.45454545454545453,0.4838709677419355,42456,30024,0.2879231770833333,0.20361328125
Г,201,0.20385395537525355,9,14,0.24242424242424243,0.4642857142857143,27981,10041,0.6925818667854756,0.2485334521422737
Д,337,0.2348432055749129,19,19,0.45,0.5294117647058824,57666,29140,0.5077618011957489,0.25658410305629176
Е,297,0.2911764705882353,11,16,0.30303030303030304,0.5172413793103449,39240,20280,0.44485256606468726,0.22990851273679558
Ё,328,0.26031746031746034,11,22,0.24390243902439024,0.7241379310344828,54064,50000,0.502528256989887,0.4647531231409875
Ж,454,0.28410513141426785,22,16,0.6363636363636364,0.32608695652173914,55124,73404,0.2674416348075841,0.3561295581129073
З,225,0.2717391304347826,14,16,0.37142857142857144,0.6818181818181818,27681,6586,0.5467851851851852,0.13009382716049384
И,376,0.2988871224165342,17,16,0.48484848484848486,0.4166666666666667,43821,40767,0.3099606722498868,0.2883587030330466
Й,432,0.25381903642773207,18,25,0.37777777777777777,0.6666666666666666,73871,62673,0.39582797496570643,0.3358249742798354
К,314,0.2638655462184874,14,17,0.3939393939393939,0.47058823529411764,37460,23633,0.3799342772526269,0.2396953223254493
Л,272,0.22857142857142856,20,16,0.5757575757575758,0.4411764705882353,38195,24923,0.5162602724913494,0.336870134083045
М,436,0.27877237851662406,23,16,0.6666666666666666,0.3333333333333333,45059,94743,0.23703286760373707,0.4983955475128356
Н,365,0.2901430842607313,18,16,0.5151515151515151,0.4166666666666667,41483,40048,0.3113754925877275,0.30060424094576843
О,328,0.26031746031746034,16,17,0.42857142857142855,0.47058823529411764,32917,44006,0.3059655710886377,0.40903851873884595
П,353,0.28060413354531,18,15,0.5151515151515151,0.3888888888888889,46641,41664,0.3742988066672552,0.3343578714218074
Р,275,0.28886554621848737,12,13,0.3333333333333333,0.4444444444444444,27454,13495,0.3630280991735537,0.17844628099173554
С,229,0.1987847222222222,10,16,0.2571428571428571,0.4838709677419355,29407,23825,0.560763524723022,0.45432009305695925
Т,213,0.2088235294117647,14,13,0.3939393939393939,0.41379310344827586,29415,6890,0.6483501950671163,0.15186581145716238
У,240,0.19047619047619047,15,13,0.4117647058823529,0.34285714285714286,27824,15686,0.48305555555555557,0.2723263888888889
Ф,430,0.32428355957767724,18,16,0.5151515151515151,0.39473684210526316,34948,46064,0.18901027582477015,0.24912925905895078
Х,306,0.24324324324324326,18,16,0.5151515151515151,0.4166666666666667,40692,23133,0.4345764449570678,0.24705241573753683
Ц,380,0.2504943968358603,19,18,0.45,0.4722222222222222,54857,44083,0.3798961218836565,0.30528393351800553
Ч,321,0.27768166089965396,19,14,0.5454545454545454,0.3939393939393939,31575,33395,0.3064314205025184,0.3240942925631545
Ш,521,0.3064705882352941,24,17,0.696969696969697,0.32653061224489793,67510,139964,0.24870966434694833,0.5156332315309773
Щ,547,0.26682926829268294,25,18,0.6,0.3469387755102041,76225,154916,0.25475503744873984,0.5177518055940831
Ъ,301,0.26038062283737023,17,18,0.48484848484848486,0.5151515151515151,34969,19830,0.3859670423063763,0.21887175638237988
Ы,447,0.29215686274509806,21,18,0.6060606060606061,0.38636363636363635,49857,79272,0.24952329474648288,0.3967388856357822
Ь,281,0.28498985801217036,13,19,0.36363636363636365,0.6428571428571429,28252,24983,0.35779688707083246,0.3163967021694254
Э,253,0.21961805555555555,20,16,0.5428571428571428,0.4838709677419355,28929,22071,0.4519520692402631,0.3448108859691606
Ю,512,0.28444444444444444,22,17,0.6,0.32653061224489793,53453,141696,0.20390701293945312,0.54052734375
Я,382,0.32100840336134456,19,16,0.5454545454545454,0.4411764705882353,41548,29117,0.28472355472711824,0.19953537457854773
