(Ш, 0.9595626954427952), (М, 0.9487283186173433), (Ю, 0.882779536133149), (Ы, 0.8684711579778139), (Щ, 0.8583638138849902), (Ж, 0.8344885837623259), (П, 0.7425020280745929), (Н, 0.7325778880151423), (Ч, 0.722546071093958), (И, 0.7042067060548657), (О, 0.698874274476793), (Ф, 0.653062655866874), (Ц, 0.6473671695278951), (Э, 0.6416490417958021), (Х, 0.6404583180874697), (А, 0.6338043117344576), (Я, 0.6228708713659914), (Л, 0.6194258565295375), (В, 0.5956379050883827), (К, 0.5950239328881413), (У, 0.5732334019591365), (Ъ, 0.5698741520029525), (Е, 0.504392430262462), (Й, 0.5041685693221105), (Д, 0.5018683952920431), (Б, 0.5010517802838954), (Р, 0.4952842883848144), (Ь, 0.4851268740005126), (С, 0.40074096747244337), (Т, 0.3962681834349444), (Ё, 0.3689354618209866), (З, 0.35093280002911187), (Г, 0.28727188651498925)
(А, 0.9641782764623544), (Ц, 0.8832659926959298), (К, 0.8505088019001746), (Э, 0.8344836019448614), (Х, 0.8323452792723511), (Ъ, 0.8226354250289367), (Н, 0.8192051352238149), (И, 0.8086116453649953), (П, 0.8027596395055387), (Б, 0.7881054503541833), (О, 0.7842808586431647), (Е, 0.7824980645756794), (Ч, 0.7776348501499079), (Й, 0.7704397891458454), (Д, 0.7660030753613436), (В, 0.7636890548735212), (Я, 0.7457414596286314), (У, 0.7319377451367401), (Ь, 0.7283060516949), (Л, 0.7280880675112658), (Ы, 0.7247728763252981), (Р, 0.7044046134835209), (Ж, 0.6974249514597047), (З, 0.6895548733366241), (Ф, 0.6873478112933624), (Щ, 0.6564373913937714), (Т, 0.6318265376854562), (М, 0.6281303893843282), (Ё, 0.5955765874298236), (Ш, 0.589922481740337), (Ю, 0.5464497307478857), (С, 0.5211027823401553), (Г, 0.4809015868287282)
(Л, 0.9536525751805726), (Д, 0.8402294578950509), (П, 0.7963841819812805), (Э, 0.7941477936346618), (У, 0.7851025882794868), (Х, 0.7797702559688353), (Ц, 0.7666045218925673), (А, 0.7625716436111943), (Т, 0.743001209047242), (К, 0.7323427245780043), (Н, 0.7283688977897989), (И, 0.7187146068298553), (Е, 0.7126353322896571), (О, 0.7113466986789057), (Й, 0.6614352281820468), (Ы, 0.6586865747238324), (Ъ, 0.655391214179761), (Р, 0.6534407451123366), (Б, 0.6531842139404891), (Ч, 0.6431059669148558), (З, 0.6387681748772358), (Ж, 0.6356015193498628), (Я, 0.6318807854552492), (В, 0.629718321110264), (Г, 0.623824820807878), (С, 0.6144268572969995), (Щ, 0.6024832494180141), (М, 0.5832285621370454), (Ш, 0.5763144996547509), (Ь, 0.565954142087753), (Ф, 0.5511651921615035), (Ё, 0.5506458898118443), (Ю, 0.5212831089590124)
(Я, 0.9760376478474218), (В, 0.8912237100878957), (Ф, 0.8572058682988067), (И, 0.8259625644385445), (Н, 0.8171176525338251), (К, 0.7496214627485968), (Ч, 0.7493539125366697), (А, 0.7454010157175417), (Р, 0.7411834891425726), (Ж, 0.7382737572764508), (П, 0.7349875839646749), (Ы, 0.7250637438589209), (Х, 0.7221550549139062), (Б, 0.7202973310865279), (Ц, 0.714290557540992), (Ъ, 0.7041305182324097), (Е, 0.6863290373190738), (О, 0.66111006717978), (Э, 0.6361077914746374), (У, 0.6180009975011251), (Д, 0.6108143620148417), (Л, 0.6017707803099851), (М, 0.6001318847434427), (Й, 0.5921229780032389), (Ь, 0.5785562913920572), (Щ, 0.5733895379810117), (Ш, 0.5689169759369368), (З, 0.5657570162881005), (Т, 0.517655851849782), (Ю, 0.5021462058679265), (Ё, 0.4019376724215612), (Г, 0.3453444237919534), (С, 0.3433574501730162)
(Щ, 0.9649354870857256), (М, 0.8651246350573419), (Ы, 0.8413451180205339), (Ю, 0.8299864529324967), (Ш, 0.8255311168320916), (Ж, 0.7937002803309472), (О, 0.7852276064199528), (П, 0.7802910347022948), (Ч, 0.772608203987055), (Н, 0.7629519463041375), (И, 0.7397293660519986), (Ц, 0.7292086231356215), (Э, 0.7001679930636677), (Х, 0.6918229366641506), (А, 0.6850973119665238), (К, 0.6711819543392934), (Ф, 0.6597902483329303), (У, 0.642295158945213), (Ъ, 0.6389701833315857), (Л, 0.628604026051806), (В, 0.626294441745673), (Я, 0.620763600502179), (Й, 0.5818559447356033), (Е, 0.5811664898203222), (Ь, 0.5775482469874411), (Б, 0.5689812988899077), (Д, 0.5502214030764422), (Р, 0.5434358146008703), (С, 0.48716368257323606), (Ё, 0.46481342049310626), (Т, 0.4498973022555315), (З, 0.4120713642233985), (Г, 0.3520490610147371)
(И, 0.9837832881586122), (Н, 0.9549024472663307), (П, 0.8764017500336498), (В, 0.8735881859946615), (К, 0.8576256096783504), (Я, 0.8513806704203846), (Ц, 0.8420424919868551), (Ф, 0.8206127934270058), (Ы, 0.8173481082938656), (О, 0.8160677760514953), (А, 0.8127438969014001), (Ч, 0.8125262729616272), (Х, 0.802138695111587), (Ж, 0.7915143234827293), (Р, 0.7824609236112412), (Е, 0.7692661433088092), (Б, 0.7689840350438816), (Ъ, 0.7463190326625136), (Э, 0.7355083356709493), (У, 0.7289815780099843), (Л, 0.700370231548892), (Д, 0.6991908587139732), (Щ, 0.6990631539629637), (М, 0.6897952490109693), (Й, 0.6843967290049966), (Ш, 0.6581089055002374), (Ь, 0.6540105694700158), (Ю, 0.6074132988602445), (З, 0.5935103128854574), (Т, 0.5848842554836974), (Ё, 0.5112548547327671), (С, 0.4898899285746977), (Г, 0.4513786056040814)
(Й, 0.9784409981116909), (Ь, 0.8396896306758261), (Б, 0.8113435044495625), (Ё, 0.7919230585643515), (Ц, 0.7752961914530354), (Е, 0.7729895561348471), (К, 0.7684620231415861), (О, 0.7682559910380302), (Д, 0.7582611514774082), (А, 0.7352764298703123), (З, 0.7239004579425501), (Э, 0.7141925482072458), (Ъ, 0.6938662484395981), (И, 0.6835887064959976), (Н, 0.6789616897094786), (П, 0.674188967759114), (В, 0.6682924004678945), (Р, 0.6579174954265048), (Х, 0.6565344505125115), (Л, 0.6315821567442528), (Ч, 0.614416801443213), (У, 0.610447222604172), (С, 0.610235936383993), (Я, 0.6001912922803395), (Ы, 0.5953820875431843), (Т, 0.5616895592237224), (Щ, 0.5601594576230633), (Ф, 0.5584901896724883), (Ж, 0.5307028203984197), (Г, 0.524200534963571), (М, 0.5067743892485903), (Ш, 0.476296009648738), (Ю, 0.4578400960892899)

(Ф, 0.9829080711742529), (Я, 0.8810296192228453), (В, 0.854815958265214), (И, 0.8186188283743334), (Н, 0.8091591765221111), (Ж, 0.7698112835965861), (Ч, 0.7646899685308887), (Ы, 0.7586527233537363), (К, 0.7170887330980107), (П, 0.7163868236043749), (Р, 0.7011836829511078), (А, 0.6957953439949383), (Ц, 0.687788364302353), (Х, 0.6747462933863901), (О, 0.6730393768368512), (Б, 0.669826571401738), (Ъ, 0.6653805419590952), (М, 0.6449591212689965), (Е, 0.6363651457731807), (Щ, 0.6218633141486833), (Ш, 0.607491330748266), (Э, 0.5914326101782471), (У, 0.5851803401169271), (Ь, 0.5616934752226859), (Ю, 0.556919446756051), (Й, 0.5558943136872867), (Л, 0.53945319516666), (Д, 0.5374658975083121), (З, 0.4776670808228578), (Т, 0.4406536891941132), (Ё, 0.37141147413687703), (С, 0.32191294258451797), (Г, 0.28849230133699233)
(А, 0.9641782764623544), (Ц, 0.8832659926959298), (К, 0.8505088019001746), (Э, 0.8344836019448614), (Х, 0.8323452792723511), (Ъ, 0.8226354250289367), (Н, 0.8192051352238149), (И, 0.8086116453649953), (П, 0.8027596395055387), (Б, 0.7881054503541833), (О, 0.7842808586431647), (Е, 0.7824980645756794), (Ч, 0.7776348501499079), (Й, 0.7704397891458454), (Д, 0.7660030753613436), (В, 0.7636890548735212), (Я, 0.7457414596286314), (У, 0.7319377451367401), (Ь, 0.7283060516949), (Л, 0.7280880675112658), (Ы, 0.7247728763252981), (Р, 0.7044046134835209), (Ж, 0.6974249514597047), (З, 0.6895548733366241), (Ф, 0.6873478112933624), (Щ, 0.6564373913937714), (Т, 0.6318265376854562), (М, 0.6281303893843282), (Ё, 0.5955765874298236), (Ш, 0.589922481740337), (Ю, 0.5464497307478857), (С, 0.5211027823401553), (Г, 0.4809015868287282)
(В, 0.9635644429562308), (Я, 0.8582508461074674), (И, 0.8420510158825373), (К, 0.8257478542258285), (Б, 0.8257393792562988), (Ф, 0.8205208615642864), (Н, 0.8167439554142942), (Р, 0.8040298783763835), (Е, 0.777042850167356), (Ц, 0.7662702498285179), (Ч, 0.744193038877312), (А, 0.7433501015958646), (П, 0.7411816753231502), (Ъ, 0.7390645360123611), (Х, 0.7235643010351673), (О, 0.7183812500489872), (Ы, 0.6955651828425768), (Ж, 0.6808079931888791), (Ь, 0.6738085054764349), (Й, 0.6719708153703586), (Э, 0.6509287228264131), (Д, 0.6462485915696705), (У, 0.6397950169667044), (З, 0.6255284136961639), (Л, 0.5890686664710549), (Щ, 0.5786503728432428), (М, 0.5705972786454744), (Т, 0.5423014082088864), (Ш, 0.534442045112549), (Ё, 0.49655533784546135), (Ю, 0.4857723115785393), (С, 0.41446860103744754), (Г, 0.4008061612797117)
